day,average_speed
12417,16.030062156423373
12418,15.70437573404163
12419,15.616596272583115
12420,15.65003984198125
12421,16.035487507134075
12422,16.014917641039382
12423,16.163679705430607
12424,15.507750011181042
12425,15.442305378401667
12426,15.65776881439497
12427,15.284465462570482
12428,15.281863430343053
12429,15.149337635246164
12430,15.087592360809596
12431,15.045622053490405
12432,15.031600854399025
12433,14.855513067609026
12434,14.983801657964799
12435,15.091364534808566
12436,15.252798069283612
12437,15.00806157972042
12438,14.725907601943907
12439,14.49840464431321
12440,14.318986861602164
12441,14.387496385277498
12442,14.256770451316376
12443,14.181961139277131
12444,14.184169833023896
12445,13.66915999369805
12446,13.621251035767472
12447,13.491031971256595
12448,13.578982387593005
12449,13.896430114469812
12450,13.700622979537473
12451,13.473692064392255
12452,12.875123209549656
12453,13.00167510442206
12454,12.984015089807967
12455,12.9453254195461
12456,12.767945607692356
12457,13.389016324193642
12458,13.524265856203877
12459,13.528074286493753
12460,13.302670573420244
12461,13.8423568724745
12462,14.027108757498308
12463,14.097796321945939
12464,14.464752185663514
12465,14.454454262118567
12466,14.447552872980635
12467,14.850413490126984
12468,14.441131857675817
12469,14.453039143904094
12470,14.485973051043237
12471,14.539547170709952
12472,14.725333380925674
12473,14.568238738846047
12474,14.640016176780039
12475,14.692004015114845
12476,14.769927618229067
12477,14.638223528419255
12478,14.833419986433858
12479,14.793912855946393
12480,15.055067861065949
12481,15.196709065541699
12482,15.455355856865749
12483,15.485387527060416
12484,15.232566318244809
12485,15.434933924727446
12486,15.634380940718533
12487,15.549090655099
12488,15.251163260472598
12489,15.10328955876639
12490,15.28117959612798
12491,15.242105239999114
12492,15.025722501177793
12493,15.094247691819726
12494,14.738353115250161
12495,14.826967976064802
12496,14.905424624329674
12497,14.884033995043728
12498,15.036559296003405
12499,14.973471323712221
12500,14.909325259712316
12501,14.728176927842075
12502,14.876495338086302
12503,14.59843572060456
12504,14.61282014281137
12505,14.62535640082655
12506,14.496890857943907
12507,14.547833395523115
12508,14.156742260280682
12509,14.504121669985606
12510,14.651978292735345
12511,15.105175283878742
12512,15.432750841589307
12513,15.476542617541215
12514,15.122221913281088
12515,15.129536688509331
12516,15.23767611741364
12517,14.824970129397865
12518,14.915701282305047
12519,15.23060606690868
12520,15.520186491833082
12521,15.493387772061347
12522,15.009863742676833
12523,14.808980281718837
12524,14.690506546423416
12525,14.391659236894668
12526,14.374710654902668
12527,14.11882561014177
12528,14.395019465811133
12529,14.513349262529958
12530,14.487319477037069
12531,14.06944241400427
12532,13.612730898521157
12533,13.400222570852952
12534,13.59877840564406
12535,13.4827759179947
12536,13.258337766959224
12537,13.068923585318515
12538,12.960323822116965
12539,13.234882847133859
12540,13.125805588714135
12541,13.07206150674937
12542,12.940306554439644
12543,12.891374498852988
12544,12.962705153142872
12545,12.83958318809082
12546,12.792317986447339
12547,12.969347644470906
12548,12.874318409237135
12549,12.29676689089313
12550,12.246408435163186
12551,12.441084352240042
12552,12.535906492027145
12553,12.662665801085415
12554,12.863773293177346
12555,13.0208624536257
12556,13.188883355774982
12557,13.176692440140927
12558,13.162107687103969
12559,13.061951492995481
12560,13.120704379237498
12561,12.93116919743146
12562,12.72270278817872
12563,12.894931399426685
12564,12.53022787816482
12565,12.139103929663127
12566,12.075776182240789
12567,12.075776182240789
12568,12.16755305096645
12569,12.293501018592734
12570,12.297586818645387
12571,11.953604877345025
12572,11.810044669127544
12573,11.851030434076565
12574,11.915883042408913
12575,11.700076686460726
12576,12.103595990715203
12577,12.215842432005328
12578,12.173950282335442
12579,12.146511201837322
12580,11.86255810895347
12581,11.969866657532773
12582,12.338249423525797
12583,12.529277280348287
12584,12.315905079763063
12585,12.547844209057185
12586,13.126140161859322
12587,13.434455263217636
12588,13.760728223826707
12589,13.666564195397516
12590,13.487035290303172
12591,13.458748348443603
12592,13.631563107537405
12593,13.906982969006895
12594,13.876163105717689
12595,13.74037022958446
12596,13.673788253307949
12597,13.629716585183944
12598,13.45523718377665
12599,13.7366805342721
12600,13.701847498218935
12601,13.492931411046804
12602,13.195876154812547
12603,13.339942222319028
12604,12.954951651535787
12605,12.935301399742624
12606,12.763728148319114
12607,12.781226991662463
12608,12.458605811292275
12609,12.208541547787219
12610,12.441396442874268
12611,12.10003804576492
12612,11.690857269946745
12613,11.80518504885908
12614,11.380813864186235
12615,11.465482573018482
12616,11.34728269285234
12617,11.534821454467151
12618,11.760101125199588
12619,11.500649902687602
12620,11.447198349712107
12621,11.92391525275058
12622,11.916787926448293
12623,12.106115522655365
12624,12.069172698796443
12625,12.098546818434047
12626,12.299060816724321
12627,12.313977137631529
12628,12.441146257626706
12629,12.390397561230555
12630,11.938173831353723
12631,12.148710948397088
12632,12.312747024297355
12633,12.687526774530582
12634,12.712043275771105
12635,13.073660541311984
12636,13.119924284730448
12637,12.930787990117155
12638,13.183380595234262
12639,13.288438750913423
12640,13.254165611183439
12641,13.07082601685807
12642,13.173632037844868
12643,13.337392513273565
12644,13.011552664604572
12645,12.990611508027344
12646,12.802797208615981
12647,12.731757375244712
12648,12.718874514262243
12649,13.142976082431563
12650,13.404638731895352
12651,13.488864827676807
12652,13.51964470650597
12653,13.950127892484785
12654,14.472863958816284
12655,13.947856853801111
12656,14.104913853476972
12657,13.579913503735401
12658,13.537609173893495
12659,13.509890095176496
12660,13.23004715396917
12661,13.504413870143818
12662,12.834236184979913
12663,12.859505560724465
12664,12.956922097298408
12665,12.978651760913955
12666,13.025345852009426
12667,13.163442710801254
12668,13.22458484948396
12669,13.178704683578724
12670,13.136913728608874
12671,12.901836527271493
12672,12.943161118676601
12673,12.74620947949515
12674,13.042102663648585
12675,12.583447207639725
12676,12.53874616501192
12677,12.725888714100364
12678,12.695475907881983
12679,12.334336562805229
12680,12.415689861699036
12681,12.105503149304877
12682,12.119723209420691
12683,12.200312172304663
12684,12.046543929133614
12685,11.900883518162791
12686,12.1244781496453
12687,12.198062130487399
12688,12.166640444217029
12689,12.13812330778938
12690,12.084671691058308
12691,11.920188065588162
12692,11.977514650072486
12693,12.272503356345842
12694,11.808354168445142
12695,11.686571612248304
12696,12.09361184926449
12697,11.819144455977751
12698,11.606318237173815
12699,11.943690525240283
12700,12.013749984945585
12701,11.774961830784312
12702,11.849436343895636
12703,11.872951494536574
12704,11.720623343978719
12705,11.880834638137657
12706,11.908003951802595
12707,11.875558623053099
12708,11.62674175055171
12709,11.726753408492275
12710,11.712305215211895
12711,12.062123262870687
12712,11.622025801710196
12713,11.605905058667346
12714,11.731765672996318
12715,11.800791603957544
12716,11.661861505369293
12717,11.250344046983946
12718,11.175424856935022
12719,11.463660414145117
12720,11.667594700972902
12721,11.892176959757135
12722,11.942022400279628
12723,12.053244879576912
12724,12.090962142377393
12725,12.05933237092154
12726,12.42768411139936
12727,12.497500498620834
12728,12.563073006600746
12729,12.873296488644643
12730,13.195657328539891
12731,12.54014619043218
12732,12.255145476637392
12733,12.255057124735835
12734,12.234088371026903
12735,11.69792088891387
12736,11.774016329907786
12737,11.381826797252293
12738,11.439241420129973
12739,11.378928674918152
12740,11.370208790612454
12741,11.180064124276443
12742,11.176803500102217
12743,10.986168235396663
12744,10.815965067726216
12745,11.050540611776055
12746,11.180071734924793
12747,11.271422333985823
12748,11.356016142619396
12749,11.710100102643176
12750,11.865206462878552
12751,11.524066193704348
12752,11.572154510875775
12753,11.095221098357836
12754,10.841915687154547
12755,10.466808061828054
12756,10.308523367962358
12757,10.509888578029134
12758,10.594504612234617
12759,10.354176943566129
12760,10.595071247142405
12761,11.121083880664047
12762,10.612691148304638
12763,10.85996340602301
12764,10.784246257869643
12765,11.064401682944338
12766,11.066912080296134
12767,11.182800156567115
12768,11.15921596357392
12769,10.661670199903837
12770,10.7884578952865
12771,10.97586454654395
12772,11.04928784559249
12773,10.863122112208519
12774,11.520344199621556
12775,11.249564671766414
12776,10.906429145050549
