day,average_speed,average_size,average_intelligence
213,21.63345340925086,1.4206957736412906,2.9726554752229313
214,22.15410023915349,1.385715871087184,3.0534962899775833
215,21.505795166993416,1.4228916235352809,3.0460334090675922
216,22.085656091369255,1.4117830158700178,3.112555015551756
217,22.260481051908656,1.414085782801069,3.064123469067609
218,22.80810442587832,1.3996852209841968,3.054025532408851
219,23.050112033242776,1.3887686669369772,3.074197130187431
220,23.81338243527602,1.3893843579017942,3.190481493795819
221,24.917114092357078,1.3490035164076115,3.3112845864645286
222,25.858839866659054,1.3025372749328712,3.376005991629807
223,24.436584076722205,1.3529313508467324,3.325491253199595
224,24.946007240415764,1.323748863523924,3.34104428121024
225,24.855694294254494,1.3092771008528756,3.3234602065893766
226,24.47851751951382,1.3488834036545716,3.212074198686985
227,24.851822265654956,1.3162846417298366,3.2989939629646474
228,24.908619664999993,1.2920476652099575,3.2782060574572895
229,25.22960063517055,1.2643280272370396,3.278385232005696
230,24.016553571642618,1.2910830554401438,3.172602182241786
231,23.85880406330793,1.280414299130267,3.1118882093773004
232,24.181844326051486,1.290779687453608,3.0909739205969724
233,24.14027672905169,1.2908372709295242,3.0400334865913026
234,24.69837166301534,1.2592737444536815,3.1301500598548966
235,24.688878951807002,1.2706534324170622,3.106382094793306
236,25.732910916133196,1.2318381815914836,3.179381282719618
237,26.01936499552288,1.2226377687582148,3.156572002810778
238,27.6367368526205,1.1939477469320303,3.330611521585584
239,27.113693386053594,1.2041155913341035,3.286176712245541
240,27.021078924920143,1.2209971815397855,3.2432402754099554
241,27.279589270965477,1.2375320054509769,3.2636505329900616
242,27.41986676299482,1.2334462455341346,3.3068407090823517
243,26.5051572700317,1.2668612112091922,3.2587035930034745
244,25.27816733644362,1.2718594657083468,3.178716062713294
245,25.041764459810572,1.2496678399445242,3.3018708765738563
246,25.11078168854306,1.2571911294719005,3.2534471734953745
247,24.84617622602076,1.2375208198451217,3.23270920045646
248,24.827669828357227,1.2139095312531045,3.2405199828154485
249,25.056273441125814,1.2353442231856613,3.2082758687126587
250,25.97968534667199,1.235018656880304,3.280737462439303
251,26.268566395554544,1.2147962601971083,3.2370419407653537
252,26.000963053258218,1.2308985109538195,3.2367093334318056
253,25.71349575513499,1.224157344972907,3.3033186537772923
254,26.14181051353286,1.249396674531595,3.3257199114705562
255,26.023871596638745,1.2507375605070625,3.2667209143204397
256,25.557645507764043,1.285362645167032,3.17566657441659
257,26.57457354091304,1.278130387075693,3.3242138091677322
258,26.63009452452298,1.278534257471855,3.3146788244951875
259,26.65907084663285,1.2824112946490873,3.3789915880668744
260,26.449319592004095,1.2789285276889477,3.327627235538807
261,26.643657887998437,1.2511735014642495,3.3815801094215865
262,26.7329323572316,1.2670712313079315,3.4615618503755736
263,26.45822364649873,1.2541854164832666,3.501716143618026
264,26.260407758296047,1.2996459551357449,3.3854088921935532
265,26.877253479559457,1.3217282260508179,3.4223499234280883
266,25.766317088151464,1.336920046483202,3.3677203025527946
267,26.23619273751908,1.350348532315578,3.417011954011623
268,26.337376062365315,1.351378878446712,3.446106602984268
269,26.394850893941555,1.3534285485397104,3.347827007795506
270,26.020313964172537,1.3373729406603667,3.305491458857156
271,26.14641378095977,1.3302188042863827,3.3821375362177903
272,26.303009260807077,1.3588458573235933,3.2834315355310992
273,27.390417022846982,1.3469234481795165,3.5023504543021495
274,27.13193135180629,1.3371609334300394,3.5785982929561655
275,27.191142232448513,1.3666139802314667,3.4008639431816343
276,26.590032253407287,1.4065878827072884,3.313602249488301
277,26.8096089825626,1.3987854782730953,3.354397055114669
278,26.62543856041706,1.4208171241028764,3.2878488496476153
279,26.834851417311633,1.452825381317742,3.254790014457576
280,27.08553770349549,1.4319969127375858,3.292842216360244
281,26.780009635814764,1.4732631693186984,3.2659266102042612
282,27.296620134456777,1.4639785178170739,3.3223132657864007
283,27.67929073262735,1.4657568492767814,3.3234098707836046
284,28.186779992093896,1.4687792773763857,3.3828072266943487
285,27.658547642641008,1.4646370551282395,3.3444686583286556
286,28.431859971071642,1.4457916139889861,3.3581330309803867
